TCGA-18-3406-01A,TCGA-18-3407-01A,TCGA-18-3408-01A,TCGA-18-3409-01A,TCGA-18-3410-01A,TCGA-18-3411-01A,TCGA-18-3412-01A,TCGA-18-3414-01A,TCGA-18-3415-01A,TCGA-18-3416-01A,TCGA-18-3417-01A,TCGA-18-3419-01A,TCGA-18-3421-01A,TCGA-18-4083-01A,TCGA-18-4086-01A,TCGA-18-4721-01A,TCGA-18-5592-01A,TCGA-18-5595-01A,TCGA-21-1070-01A,TCGA-21-1071-01A,Gene_ID
0.0986890440913283,0.0220481651801732,0.18243805572491,0.259182080338187,0.242206148570875,0.124592825405823,0.019346088804812,0,0,0.137765808095879,0.0478175480213695,0.0250287944915224,0,0.143132155555768,0.0371713376446435,0.0504668703506619,0.0201999229434977,0.0190613650934302,0.186500557644495,0.105007524760974,A1BG
0.865681314339166,0.560323662082363,0.110897723329813,0.931531783594124,1.76617108910985,0.87947052508696,0.329181015847041,0.469156631999643,0.617298482840846,0.87263179113525,0.748289473370415,0.820648719357188,0.0776531856501614,0.491596594410448,0.70787813281685,1.03913839390696,0.181293412885475,0.827412574398858,0.972986676533613,0.237563718317676,A1BG-AS1
0.0501882233114782,0.00920382732983974,0,0.0260209707143701,0.0090604681563836,0,0,0,0,0,0,0,0,0.0177794125612347,0,0,0.0335111023613237,0.00805655487105846,0,0.0113525072299052,A1CF
6.58947437979782,7.87584332700375,8.47361606030442,9.40127420265547,6.76830873531512,6.55071292974238,6.76314728635273,6.86374150316336,6.53689681651852,6.77547332933379,7.31616113240686,5.94647588663849,5.98917080445261,7.07128536680629,7.04007926127075,7.65286504514118,6.05390850936958,7.89098650789118,7.09538858287001,6.71733369945369,A2M
0.584289085893057,0.645332753624862,1.85650769920684,2.17021351160044,1.02382309102213,0.945682607521406,1.1911204259568,1.61008581758976,1.39011735366633,1.06143060049775,1.81438635499538,0.97944005808644,0.849919218685979,0.948152271532581,1.47814347326819,1.98042751654704,1.2388479894378,0.739243253453429,0.661931977036267,1.55880640086106,A2M-AS1
1.6955484681331,4.90177922019451,2.47459179139458,0.102053382729188,4.80146910225368,0.720541147546599,6.18513906923567,4.63820709201419,4.66497768635832,2.47123949533824,7.73692276352141,3.07558397171436,4.28679245479301,2.43378738345878,4.17994888794989,1.41754200675105,2.10390043025272,5.3712765685743,4.03130696614121,3.353309174704,A2ML1
0.352419559215162,0,0.121413330915865,0,0.0835197488201729,0,0.144960004720858,0.0846085753178095,0,0.393086655023531,0,0,0,0,0,0.354339313378527,0.0775164697020952,0.448795255329051,0.378067648780034,0,A3GALT2
2.41494732802091,6.02996961907751,4.2906308254276,4.06002143568406,5.88358904927683,7.33933962603894,7.16620727941511,6.4812165862163,5.43147587487149,4.70978689040035,4.44968682090182,5.09714302468634,3.62144239010893,4.3928669162308,6.11966327735819,5.52315418027008,7.05287666215659,3.87204072453461,5.0923343111862,4.38665232405285,A4GALT
0,0.0965317426936287,0.324810603420484,0.135272179476252,0.095586907997724,0,0,0,0,0.182819401612206,0,0.0556121566866925,0,0.22329897333279,0.370722275148167,0,0.251567620608247,0.0426443374084937,0.141955885583644,0.327227467761286,A4GNT
3.53154365711111,4.14602789786539,4.23937512691442,5.09645162447759,5.28807427748673,4.67899583570828,5.23346245757106,4.9112793243925,4.41736647258672,5.17927217370157,4.43722107948542,4.82426888149535,4.39609097039437,5.71489389771667,4.88993100485989,5.17956280164886,5.04826234647176,5.5076519490175,3.943152434281,5.06602889746486,AAAS
